cliente_id,genero,edad,estado,piezas_compradas,monto_compra,fecha_ultima_compra
64,Femenino,42.0,Yucatán,4,445.66,2023-06-06
65,Femenino,29.0,Yucatán,1,482.71,2023-01-07
66,Masculino,30.0,CDMX,7,752.23,2023-07-30
67,Femenino,,CDMX,5,333.93,2023-10-08
68,Masculino,31.0,Yucatán,4,248.73,2023-01-08
69,Femenino,30.0,Puebla,7,139.1,2023-10-14
70,Otro,46.0,Jalisco,4,642.0,2023-08-24
71,Masculino,50.0,Nuevo León,7,297.93,2023-03-09
72,Femenino,41.0,Yucatán,4,445.71,2023-10-15
73,Femenino,28.0,CDMX,3,621.62,2023-05-15
74,Masculino,29.0,Nuevo León,1,730.62,2023-05-22
75,Masculino,35.0,CDMX,3,506.27,2023-07-16
76,Masculino,38.0,Jalisco,1,347.97,2023-01-12
77,Masculino,25.0,Jalisco,4,550.95,2023-02-06
78,Femenino,42.0,Yucatán,3,339.73,2023-10-10
79,Femenino,35.0,Nuevo León,3,488.19,2023-03-26
80,Femenino,17.0,Nuevo León,3,288.96,2023-03-18
81,Masculino,25.0,Jalisco,2,373.2,2023-03-30
82,Masculino,29.0,CDMX,4,836.38,2023-02-03
83,Femenino,34.0,Yucatán,6,660.18,2023-10-25
84,Femenino,53.0,Puebla,1,397.86,2023-11-16
85,Femenino,37.0,Jalisco,6,432.82,2023-08-24
86,Femenino,26.0,Jalisco,7,607.36,2023-02-17
87,Masculino,37.0,Yucatán,2,437.17,2023-01-17
88,Masculino,31.0,CDMX,3,681.7,2023-05-29
89,Masculino,38.0,Nuevo León,1,263.72,2023-09-28
90,Femenino,40.0,Jalisco,2,489.1,2023-01-26
91,Femenino,47.0,Yucatán,2,379.23,2023-04-09
92,Masculino,34.0,Yucatán,3,538.05,2023-12-12
93,Masculino,51.0,Yucatán,3,517.62,2023-05-20
94,Masculino,44.0,Nuevo León,4,503.3,2023-01-22
95,Masculino,27.0,Jalisco,0,563.49,2023-08-16
96,Masculino,57.0,Yucatán,2,540.74,2023-12-20
97,Masculino,38.0,Nuevo León,3,328.68,2023-08-01
98,Femenino,26.0,CDMX,4,482.86,2023-12-19
99,Femenino,51.0,Puebla,1,483.33,2023-03-15
100,Femenino,,Jalisco,1,492.18,2023-09-08
101,Femenino,34.0,Nuevo León,3,829.45,2023-07-10
102,Masculino,29.0,Puebla,3,503.99,2023-01-28
103,Femenino,33.0,Puebla,3,745.44,2023-10-23
104,Masculino,42.0,Nuevo León,4,206.76,2023-04-04
105,Masculino,47.0,Nuevo León,2,411.86,2023-11-02
106,Femenino,40.0,Nuevo León,4,461.84,2023-12-31
107,Femenino,36.0,Yucatán,5,731.09,2023-04-04
108,Masculino,49.0,CDMX,5,171.23,2023-09-23
109,Femenino,31.0,Yucatán,5,645.24,2023-10-08
110,Femenino,45.0,Puebla,1,580.03,2023-01-01
111,Femenino,32.0,Puebla,1,580.51,2023-03-14
112,Femenino,39.0,Puebla,1,469.17,2023-07-31
113,Masculino,33.0,Nuevo León,5,523.16,2023-10-21
114,Masculino,34.0,Jalisco,5,492.05,2023-03-23
115,Masculino,31.0,Yucatán,5,397.8,2023-08-09
116,Masculino,48.0,Jalisco,1,634.72,2023-06-14
117,Masculino,27.0,CDMX,2,511.92,2023-04-06
118,Femenino,27.0,CDMX,3,382.1,2023-01-12
119,Masculino,56.0,Yucatán,3,561.36,2023-02-25
120,Masculino,44.0,Puebla,3,468.29,2023-12-23
121,Masculino,11.0,CDMX,3,432.65,2023-07-23
122,Masculino,29.0,Jalisco,1,245.44,2023-11-08
123,Femenino,16.0,Jalisco,2,421.38,2023-04-17
124,Femenino,25.0,Nuevo León,1,413.77,2023-02-02
125,Femenino,3.0,Puebla,3,545.54,2023-06-08
126,Femenino,33.0,Nuevo León,6,442.25,2023-07-09
127,Masculino,23.0,Yucatán,4,902.55,2023-01-02
128,Masculino,,CDMX,5,269.68,2023-02-21
129,Femenino,18.0,Nuevo León,3,313.05,2023-03-22
130,Masculino,35.0,Nuevo León,1,418.99,2023-05-09
131,Femenino,30.0,Yucatán,2,554.61,2023-11-04
132,Femenino,50.0,Jalisco,5,450.89,2023-12-17
133,Femenino,49.0,Jalisco,7,408.15,2023-04-03
134,Femenino,42.0,Yucatán,5,320.67,2023-05-12
135,Masculino,,Jalisco,3,564.35,2023-12-22
136,Femenino,54.0,Yucatán,4,910.18,2023-01-08
137,Masculino,19.0,Jalisco,2,341.1,2023-12-22
138,Masculino,20.0,Yucatán,3,586.19,2023-05-29
139,Femenino,34.0,Jalisco,4,735.38,2023-11-27
140,Otro,57.0,Nuevo León,1,521.14,2023-08-06
141,Otro,32.0,Nuevo León,4,550.73,2023-12-13
142,Femenino,33.0,Jalisco,4,487.91,2023-10-17
143,Masculino,20.0,Yucatán,1,768.48,2023-07-21
144,Femenino,44.0,Nuevo León,0,619.71,2023-09-07
145,Femenino,44.0,CDMX,2,670.7,2023-12-25
146,Femenino,42.0,Jalisco,3,480.48,2023-11-29
147,Masculino,28.0,CDMX,4,601.87,2023-07-23
148,Masculino,27.0,CDMX,3,488.83,2023-03-22
149,Femenino,22.0,Puebla,3,615.79,2023-03-09
150,Femenino,35.0,CDMX,2,439.06,2023-03-05
151,Masculino,24.0,CDMX,3,675.33,2023-04-13
152,Femenino,23.0,Puebla,4,581.7,2023-01-28
153,Femenino,30.0,Puebla,6,431.28,2023-10-24
154,Masculino,30.0,Puebla,3,631.29,2023-03-25
155,Otro,29.0,Yucatán,5,452.7,2023-03-13
156,Femenino,39.0,Puebla,3,314.82,2023-10-30
157,Masculino,35.0,Yucatán,3,457.94,2023-09-28
158,Masculino,32.0,Jalisco,2,459.26,2023-12-17
159,Femenino,36.0,Yucatán,3,326.36,2023-07-23
160,Masculino,25.0,Jalisco,2,574.85,2023-05-29
161,Femenino,36.0,Puebla,2,563.22,2023-02-17
162,Masculino,36.0,Puebla,5,497.71,2023-06-16
163,Masculino,19.0,Jalisco,4,622.62,2023-10-15
164,Masculino,44.0,Nuevo León,0,445.23,2023-01-06
165,Femenino,26.0,Yucatán,2,276.91,2023-12-10
166,Masculino,35.0,CDMX,4,402.51,2023-12-18
167,Femenino,46.0,Puebla,5,375.22,2023-07-03
168,Femenino,44.0,Yucatán,2,445.12,2023-12-30
169,Femenino,35.0,Yucatán,2,515.29,2023-08-09
170,Masculino,31.0,Puebla,4,803.5,2023-01-09
171,Masculino,44.0,Jalisco,3,269.49,2023-08-31
172,Femenino,41.0,Puebla,4,633.26,2023-01-27
173,Masculino,28.0,Yucatán,2,349.53,2023-04-11
174,Femenino,27.0,Nuevo León,4,568.85,2023-05-16
175,Masculino,14.0,Jalisco,2,404.46,2023-06-30
176,Femenino,36.0,Puebla,0,534.78,2023-03-07
177,Masculino,34.0,CDMX,3,744.78,2023-08-22
178,Femenino,46.0,Puebla,3,277.58,2023-01-04
179,Masculino,38.0,Yucatán,5,546.56,2023-09-27
180,Femenino,48.0,Yucatán,6,552.95,2023-01-25
181,Femenino,28.0,CDMX,2,653.51,2023-06-18
182,Femenino,46.0,Jalisco,10,510.79,2023-07-21
183,Masculino,29.0,Yucatán,3,1016.59,2023-07-19
184,Masculino,42.0,Jalisco,1,677.63,2023-05-14
185,Femenino,20.0,Jalisco,5,594.71,2023-09-18
186,Masculino,37.0,Puebla,3,555.29,2023-06-26
187,Masculino,15.0,Jalisco,2,588.8,2023-02-06
188,Masculino,32.0,Yucatán,2,520.53,2023-03-24
189,Masculino,39.0,Yucatán,6,521.61,2023-11-05
190,Femenino,29.0,Nuevo León,1,272.3,2023-06-26
191,Femenino,24.0,Jalisco,2,587.8,2023-07-31
192,Masculino,43.0,Nuevo León,5,586.19,2023-05-07
193,Masculino,33.0,Puebla,2,553.22,2023-05-18
194,Masculino,30.0,Nuevo León,4,556.97,2023-07-29
195,Femenino,35.0,Jalisco,3,614.06,2023-09-24
196,Femenino,61.0,Yucatán,3,569.2,2023-03-20
197,Masculino,46.0,Puebla,3,513.14,2023-04-06
198,Masculino,46.0,Jalisco,1,549.64,2023-05-19
199,Masculino,39.0,Puebla,1,684.62,2023-09-01
200,Masculino,36.0,CDMX,4,720.07,2023-08-09
201,Masculino,11.0,Jalisco,4,352.51,2023-10-22
202,Femenino,28.0,CDMX,2,441.13,2023-03-05
203,Femenino,30.0,Nuevo León,4,642.86,2023-02-16
204,Masculino,16.0,Jalisco,2,583.87,2023-12-13
205,Masculino,23.0,CDMX,2,404.48,2023-05-16
206,Femenino,15.0,Yucatán,3,509.49,2023-03-17
207,Femenino,34.0,Nuevo León,3,618.13,2023-05-06
208,Masculino,43.0,Jalisco,2,787.78,2023-12-14
209,Femenino,46.0,Jalisco,2,853.1,2023-10-31
210,Femenino,39.0,Yucatán,2,227.51,2023-04-16
211,Masculino,25.0,Yucatán,1,627.69,2023-12-28
212,Masculino,15.0,CDMX,2,406.11,2023-08-14
213,Masculino,17.0,CDMX,3,673.06,2023-04-25
214,Femenino,22.0,CDMX,1,294.38,2023-03-29
215,Masculino,26.0,Puebla,3,397.49,2023-08-14
216,Femenino,33.0,Nuevo León,1,473.85,2023-11-18
217,Femenino,24.0,Jalisco,1,600.56,2023-03-05
218,Masculino,38.0,Nuevo León,3,444.43,2023-12-18
219,Masculino,32.0,Yucatán,4,390.76,2023-11-24
220,Masculino,35.0,Nuevo León,7,243.52,2023-04-19
221,Masculino,46.0,Nuevo León,2,400.31,2023-07-20
222,Masculino,23.0,CDMX,3,601.43,2023-10-12
223,Femenino,39.0,Yucatán,2,723.2,2023-03-12
224,Femenino,34.0,Nuevo León,4,343.55,2023-10-23
225,Femenino,31.0,Jalisco,1,357.61,2023-06-09
226,Femenino,43.0,CDMX,3,389.48,2023-12-26
227,Otro,43.0,Nuevo León,6,482.4,2023-09-16
228,Femenino,25.0,Yucatán,1,529.06,2023-01-10
229,Masculino,33.0,Jalisco,4,454.0,2023-06-17
230,Masculino,37.0,Yucatán,3,262.91,2023-04-27
231,Masculino,32.0,Yucatán,3,195.25,2023-12-15
232,Masculino,40.0,Yucatán,2,426.01,2023-03-24
233,Masculino,37.0,Puebla,3,579.82,2023-12-11
234,Masculino,53.0,Jalisco,4,501.02,2023-08-27
235,Femenino,19.0,Yucatán,1,752.55,2023-06-23
236,Masculino,33.0,Puebla,3,272.16,2023-11-26
237,Femenino,25.0,CDMX,4,515.32,2023-06-28
238,Femenino,41.0,Puebla,4,709.18,2023-05-19
239,Masculino,18.0,CDMX,3,455.19,2023-07-25
240,Femenino,38.0,Puebla,2,308.39,2023-06-28
241,Masculino,28.0,Yucatán,4,94.32,2023-04-17
242,Masculino,27.0,Puebla,6,452.21,2023-02-02
243,Masculino,20.0,Puebla,3,423.2,2023-05-10
244,Femenino,30.0,Yucatán,7,402.58,2023-04-28
245,Femenino,45.0,CDMX,3,544.93,2023-04-03
246,Masculino,34.0,Yucatán,2,772.34,2023-03-23
247,Femenino,41.0,Jalisco,2,293.97,2023-04-20
248,Otro,51.0,Puebla,5,355.9,2023-01-10
249,Otro,37.0,Jalisco,4,477.9,2023-07-03
250,Masculino,29.0,Yucatán,1,608.12,2023-08-18
251,Femenino,39.0,Yucatán,3,442.28,2023-08-02
252,Femenino,29.0,Nuevo León,1,587.47,2023-01-27
253,Masculino,29.0,Jalisco,5,284.08,2023-05-29
254,Femenino,19.0,Nuevo León,4,507.14,2023-07-08
255,Femenino,44.0,Jalisco,0,497.91,2023-05-08
256,Masculino,31.0,Nuevo León,2,735.24,2023-09-26
257,Masculino,36.0,Nuevo León,2,670.15,2023-01-15
258,Masculino,24.0,Jalisco,3,517.17,2023-08-07
259,Masculino,39.0,Yucatán,6,357.45,2023-08-11
260,Femenino,27.0,CDMX,3,149.91,2023-05-31
261,Masculino,33.0,Yucatán,3,367.25,2023-11-16
262,Otro,43.0,CDMX,3,827.96,2023-04-09
263,Femenino,42.0,Jalisco,3,228.17,2023-11-06
264,Masculino,34.0,Puebla,2,362.94,2023-01-08
265,Masculino,17.0,Yucatán,1,519.16,2023-04-07
266,Masculino,64.0,Nuevo León,1,689.9,2023-06-05
267,Masculino,52.0,Yucatán,2,308.19,2023-03-12
268,Masculino,42.0,Jalisco,1,569.62,2023-06-19
269,Femenino,27.0,Puebla,4,381.99,2023-06-08
270,Femenino,33.0,Puebla,5,317.16,2023-01-13
271,Masculino,29.0,Yucatán,5,410.72,2023-10-18
272,Masculino,47.0,Yucatán,2,493.22,2023-04-30
273,Masculino,37.0,Yucatán,4,309.63,2023-11-02
274,Masculino,27.0,Jalisco,2,667.32,2023-11-23
275,Masculino,30.0,CDMX,4,717.44,2023-05-17
276,Masculino,46.0,CDMX,4,393.46,2023-01-03
277,Masculino,51.0,Nuevo León,7,616.75,2023-07-11
278,Masculino,50.0,Jalisco,2,270.92,2023-01-21
279,Masculino,42.0,Puebla,2,472.31,2023-09-06
280,Masculino,32.0,Nuevo León,9,625.62,2023-03-18
281,Masculino,2.0,Puebla,4,607.58,2023-12-19
282,Femenino,,Puebla,5,521.85,2023-09-23
283,Femenino,34.0,Yucatán,1,679.94,2023-08-16
284,Femenino,36.0,Puebla,0,389.52,2023-08-11
285,Masculino,35.0,Puebla,4,513.18,2023-08-25
286,Femenino,21.0,Jalisco,3,507.85,2023-09-14
287,Femenino,40.0,Yucatán,1,563.05,2023-02-07
288,Masculino,41.0,Yucatán,6,590.86,2023-07-02
289,Femenino,41.0,Nuevo León,1,305.77,2023-03-17
290,Masculino,44.0,Yucatán,0,602.45,2023-02-12
291,Femenino,41.0,CDMX,1,319.11,2023-02-20
292,Femenino,30.0,Jalisco,1,638.08,2023-04-03
293,Masculino,34.0,Nuevo León,6,762.71,2023-11-10
294,Femenino,35.0,CDMX,3,424.86,2023-03-01
295,Femenino,36.0,Puebla,2,359.09,2023-07-23
296,Masculino,44.0,CDMX,7,749.44,2023-01-05
297,Masculino,41.0,Nuevo León,4,489.92,2023-02-11
298,Femenino,55.0,Yucatán,2,298.24,2023-09-15
299,Masculino,57.0,Jalisco,2,362.09,2023-02-16
300,Femenino,35.0,Nuevo León,3,370.29,2023-02-23
301,Femenino,-3.0,CDMX,1,680.7,2023-02-04
302,Masculino,,CDMX,1,348.24,2023-02-16
303,Masculino,29.0,Nuevo León,2,148.74,2023-01-17
304,Masculino,26.0,Nuevo León,3,492.48,2023-03-14
305,Masculino,31.0,Nuevo León,3,544.28,2023-11-16
306,Otro,30.0,Yucatán,6,585.78,2023-12-06
307,Masculino,41.0,Nuevo León,8,93.28,2023-11-28
308,Femenino,19.0,Puebla,2,472.37,2023-01-07
309,Masculino,24.0,Jalisco,2,435.44,2023-11-14
310,Femenino,38.0,Jalisco,2,562.95,2023-05-02
311,Femenino,41.0,Puebla,1,202.05,2023-01-18
312,Femenino,41.0,CDMX,3,522.54,2023-09-15
313,Femenino,27.0,CDMX,1,527.22,2023-06-25
314,Otro,25.0,CDMX,4,670.3,2023-01-11
315,Masculino,29.0,CDMX,4,553.06,2023-10-09
316,Masculino,37.0,Yucatán,4,604.34,2023-05-06
317,Femenino,49.0,Puebla,2,314.34,2023-05-27
318,Femenino,14.0,Jalisco,1,483.87,2023-08-18
319,Femenino,32.0,Puebla,2,695.27,2023-03-25
320,Femenino,21.0,Jalisco,2,425.1,2023-12-10
321,Masculino,18.0,CDMX,5,616.02,2023-01-06
322,Masculino,44.0,Yucatán,3,354.63,2023-02-09
323,Masculino,40.0,Nuevo León,2,464.86,2023-06-14
324,Femenino,39.0,Nuevo León,6,256.55,2023-05-01
325,Masculino,44.0,CDMX,4,486.21,2023-03-06
326,Masculino,30.0,CDMX,4,372.93,2023-11-04
327,Masculino,30.0,Puebla,2,670.9,2023-09-15
328,Masculino,56.0,Yucatán,1,804.2,2023-08-18
329,Femenino,32.0,Yucatán,2,240.13,2023-02-10
330,Femenino,42.0,Puebla,5,313.47,2023-11-14
331,Femenino,35.0,Yucatán,3,637.69,2023-01-30
332,Masculino,16.0,Yucatán,4,384.22,2023-03-29
333,Femenino,14.0,Nuevo León,1,486.44,2023-08-21
334,Femenino,29.0,Yucatán,4,725.82,2023-10-21
335,Femenino,45.0,CDMX,5,730.04,2023-08-07
336,Femenino,42.0,Nuevo León,3,303.41,2023-10-13
337,Masculino,44.0,CDMX,1,789.03,2023-05-06
338,Masculino,25.0,CDMX,3,599.77,2023-05-17
339,Femenino,51.0,Puebla,2,650.13,2023-04-11
340,Femenino,25.0,Yucatán,5,399.0,2023-09-29
341,Masculino,37.0,Yucatán,3,383.72,2023-12-14
342,Femenino,34.0,Yucatán,2,237.83,2023-11-28
343,Femenino,33.0,Yucatán,3,312.64,2023-11-28
344,Femenino,,Nuevo León,1,602.12,2023-02-20
345,Femenino,27.0,Jalisco,1,568.48,2023-01-09
346,Masculino,21.0,CDMX,4,617.61,2023-06-28
347,Masculino,35.0,Jalisco,5,534.75,2023-08-01
348,Femenino,31.0,Jalisco,1,495.9,2023-05-25
349,Femenino,68.0,Jalisco,3,393.97,2023-06-10
350,Masculino,41.0,Nuevo León,3,456.9,2023-10-17
351,Masculino,30.0,Jalisco,2,634.09,2023-03-31
352,Masculino,24.0,Nuevo León,2,621.79,2023-12-20
353,Masculino,16.0,Puebla,4,537.31,2023-04-12
354,Femenino,24.0,Puebla,4,358.84,2023-03-30
355,Femenino,36.0,Puebla,1,427.2,2023-08-14
356,Masculino,49.0,Nuevo León,2,296.87,2023-05-04
357,Femenino,46.0,Nuevo León,3,445.82,2023-02-19
358,Masculino,37.0,CDMX,0,249.0,2023-02-17
359,Masculino,31.0,Jalisco,1,448.97,2023-10-28
360,Masculino,37.0,Yucatán,7,399.46,2023-03-20
361,Femenino,29.0,Yucatán,3,497.77,2023-07-13
362,Masculino,52.0,Jalisco,2,382.76,2023-12-09
363,Femenino,33.0,Yucatán,7,609.59,2023-02-14
364,Masculino,34.0,Yucatán,4,253.28,2023-11-22
365,Masculino,12.0,Yucatán,1,260.71,2023-12-25
366,Femenino,33.0,Nuevo León,3,459.31,2023-10-17
367,Otro,43.0,Nuevo León,2,539.45,2023-05-02
368,Masculino,24.0,Nuevo León,3,438.16,2023-06-23
369,Femenino,27.0,Jalisco,11,450.81,2023-03-28
370,Femenino,42.0,Puebla,4,514.02,2023-03-20
371,Femenino,20.0,Yucatán,1,574.54,2023-05-10
372,Femenino,45.0,CDMX,2,435.9,2023-10-21
373,Femenino,29.0,Nuevo León,3,528.44,2023-12-11
374,Masculino,31.0,CDMX,2,647.48,2023-11-24
375,Femenino,23.0,Yucatán,2,294.67,2023-03-01
376,Femenino,38.0,Puebla,2,689.72,2023-03-16
377,Masculino,59.0,CDMX,2,678.31,2023-01-29
378,Femenino,42.0,Yucatán,2,374.56,2023-03-01
379,Masculino,26.0,Yucatán,7,578.09,2023-03-10
380,Femenino,46.0,Nuevo León,3,269.98,2023-06-14
381,Femenino,31.0,Puebla,0,545.23,2023-03-25
382,Masculino,48.0,Yucatán,5,704.74,2023-09-25
383,Masculino,43.0,Puebla,2,343.12,2023-12-02
384,Masculino,,Nuevo León,4,386.15,2023-12-07
385,Masculino,24.0,CDMX,2,554.19,2023-06-14
386,Masculino,44.0,Jalisco,3,447.99,2023-07-05
387,Femenino,36.0,Jalisco,3,528.68,2023-02-24
388,Femenino,24.0,Jalisco,8,866.62,2023-01-21
389,Masculino,28.0,Puebla,5,437.78,2023-08-14
390,Masculino,15.0,Jalisco,7,264.8,2023-12-17
391,Otro,34.0,CDMX,3,401.05,2023-05-29
392,Femenino,57.0,Yucatán,2,527.75,2023-11-19
393,Femenino,43.0,Puebla,4,308.07,2023-07-06
394,Masculino,56.0,CDMX,4,397.38,2023-05-05
395,Femenino,43.0,Puebla,3,677.55,2023-12-07
396,Masculino,45.0,Puebla,3,744.8,2023-08-09
397,Masculino,54.0,Puebla,0,440.85,2023-10-15
398,Femenino,38.0,Nuevo León,3,444.81,2023-07-05
399,Masculino,33.0,Yucatán,1,315.96,2023-04-23
400,Masculino,45.0,Jalisco,1,538.06,2023-06-03
401,Femenino,49.0,Nuevo León,3,858.5,2023-01-13
402,Masculino,30.0,Yucatán,2,444.7,2023-09-28
403,Masculino,27.0,Jalisco,3,449.99,2023-01-02
404,Masculino,36.0,Nuevo León,3,574.45,2023-08-29
405,Femenino,43.0,Nuevo León,1,432.22,2023-06-10
406,Masculino,42.0,CDMX,3,434.84,2023-01-31
407,Femenino,20.0,Nuevo León,3,707.26,2023-03-06
408,Femenino,54.0,Puebla,4,306.09,2023-07-26
409,Masculino,28.0,Nuevo León,1,337.59,2023-07-01
410,Femenino,32.0,Puebla,1,596.57,2023-04-13
411,Femenino,25.0,Yucatán,2,477.55,2023-04-27
412,Masculino,61.0,Yucatán,2,338.65,2023-05-23
413,Masculino,37.0,Puebla,2,543.65,2023-12-06
414,Masculino,26.0,CDMX,3,449.95,2023-06-29
415,Masculino,,CDMX,0,525.69,2023-11-23
416,Femenino,42.0,Yucatán,6,457.59,2023-04-10
417,Femenino,33.0,Nuevo León,2,278.02,2023-06-20
418,Femenino,43.0,Yucatán,5,658.9,2023-09-25
419,Masculino,26.0,Yucatán,0,753.85,2023-07-24
420,Masculino,30.0,Puebla,2,361.85,2023-01-05
421,Masculino,14.0,CDMX,5,741.57,2023-05-14
422,Masculino,21.0,Puebla,4,484.11,2023-01-05
423,Femenino,53.0,Yucatán,2,45.59,2023-11-14
424,Masculino,51.0,Jalisco,2,563.76,2023-02-08
425,Femenino,35.0,Nuevo León,3,169.76,2023-12-29
426,Masculino,51.0,Yucatán,1,426.69,2023-08-27
427,Femenino,33.0,Puebla,3,605.98,2023-11-22
428,Masculino,32.0,Jalisco,6,571.26,2023-09-03
429,Femenino,35.0,Jalisco,2,391.9,2023-11-27
430,Femenino,33.0,Yucatán,3,594.16,2023-01-16
431,Femenino,32.0,CDMX,1,635.21,2023-12-31
432,Masculino,46.0,Jalisco,0,409.59,2023-07-14
433,Masculino,36.0,Nuevo León,2,448.83,2023-06-09
434,Femenino,42.0,Puebla,3,529.86,2023-10-08
435,Femenino,45.0,Puebla,6,326.36,2023-12-04
436,Masculino,38.0,Puebla,1,378.49,2023-03-24
437,Femenino,25.0,Yucatán,2,649.88,2023-02-04
438,Masculino,21.0,Puebla,4,844.64,2023-04-25
439,Masculino,36.0,Puebla,3,591.14,2023-06-23
440,Femenino,,Nuevo León,6,539.7,2023-11-06
441,Femenino,35.0,CDMX,2,774.43,2023-01-27
442,Otro,34.0,Yucatán,4,361.09,2023-01-13
443,Femenino,60.0,Yucatán,6,512.38,2023-12-30
444,Femenino,21.0,Puebla,2,624.29,2023-04-27
445,Masculino,15.0,Nuevo León,3,375.44,2023-01-31
446,Masculino,38.0,Jalisco,1,254.07,2023-08-04
447,Otro,31.0,Puebla,6,623.43,2023-07-09
448,Masculino,38.0,Puebla,4,642.85,2023-09-04
449,Femenino,40.0,Yucatán,2,626.51,2023-10-20
450,Femenino,47.0,Yucatán,4,629.17,2023-05-30
451,Masculino,19.0,Puebla,4,513.42,2023-12-19
452,Masculino,29.0,Yucatán,2,521.38,2023-06-22
453,Femenino,39.0,Nuevo León,5,534.47,2023-05-23
454,Masculino,42.0,Jalisco,2,666.22,2023-12-24
455,Femenino,56.0,Jalisco,2,541.9,2023-03-03
456,Masculino,44.0,Jalisco,3,512.91,2023-04-16
457,Femenino,34.0,Puebla,4,550.11,2023-07-25
458,Femenino,26.0,Puebla,2,566.9,2023-10-31
459,Femenino,29.0,Puebla,3,341.17,2023-05-04
460,Femenino,29.0,Nuevo León,5,708.27,2023-01-15
461,Femenino,41.0,Jalisco,4,400.63,2023-10-12
462,Masculino,37.0,Yucatán,2,510.75,2023-01-26
463,Masculino,21.0,Yucatán,4,359.21,2023-10-05
464,Masculino,30.0,CDMX,2,469.59,2023-05-12
465,Otro,43.0,CDMX,3,580.45,2023-10-16
466,Femenino,38.0,Yucatán,2,546.88,2023-07-04
467,Femenino,40.0,Jalisco,2,419.51,2023-03-10
468,Masculino,38.0,Puebla,4,396.85,2023-01-28
